Reference, Quantity, Value, Footprint, Datasheet, Digi-Key Part,   LCSC Part #
D1 ,1,"RED LED","LED_THT:LED_D3.0mm","","732-5005-ND",""
D2 ,1,"GREEN LED","LED_THT:LED_D3.0mm","","732-5008-ND",""
D3 ,1,"YELLOW LED","LED_THT:LED_D3.0mm","","732-5010-ND",""
J1 ,1,"EXP","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","","S2011EC-05-ND","C225520"
J2 ,1,"USB_B_Micro","Connector_USB:USB_Micro-B_Wuerth_614105150721_Vertical","","2073-USB3131-30-0230-ACT-ND",""
J3 ,1,"USB_A","sputterizer:USB_A_Amphenol_UE27AE54100_Vertical"," ~","UE27AE54100-ND","C718031"
Q1 Q2 Q4 ,3,"2N3906","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF","2N3906TFCT-ND","C9809"
Q3 ,1,"2N7000","Package_TO_SOT_THT:TO-92_Inline_Wide","https://www.onsemi.com/pub/Collateral/NDS7002A-D.PDF","2N7000FS-ND","C232838"
R1 R4 ,2,"200","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT200RCT-ND","C119309"
R2 R5 R8 ,3,"43K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT43K0CT-ND","C433719"
R3 ,1,"1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","738-CFF14JT1K00CT-ND","C410696"
R6 R9 ,2,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT10K0CT-ND","C433778"
R7 ,1,"30K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","","CF14JT30K0CT-ND","C176499"
SW1 ,1,"Reset","Button_Switch_THT:SW_PUSH_6mm","","450-1940-ND",""
